src_ip,dst_ip,proto
192.168.56.85,57.144.213.32,6
57.144.213.32,192.168.56.85,6
57.144.213.32,192.168.56.85,6
192.168.56.85,57.144.213.32,6
13.107.213.58,192.168.56.85,6
13.107.213.58,192.168.56.85,6
13.107.213.58,192.168.56.85,6
13.107.213.58,192.168.56.85,6
192.168.56.85,13.107.213.58,6
192.168.56.85,13.107.213.58,6
13.107.213.58,192.168.56.85,6
192.168.56.85,8.8.8.8,17
192.168.56.85,8.8.8.8,17
8.8.8.8,192.168.56.85,17
8.8.8.8,192.168.56.85,17
192.168.56.85,34.36.137.203,6
192.168.56.85,34.36.137.203,6
34.36.137.203,192.168.56.85,6
34.36.137.203,192.168.56.85,6
192.168.56.85,34.36.137.203,6
192.168.56.13,224.0.0.251,17
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.13,224.0.0.251,17
3.233.158.26,192.168.56.85,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,151.101.129.91,6
192.168.56.85,151.101.129.91,6
151.101.129.91,192.168.56.85,6
151.101.129.91,192.168.56.85,6
151.101.129.91,192.168.56.85,6
151.101.129.91,192.168.56.85,6
192.168.56.85,151.101.129.91,6
192.168.56.85,151.101.129.91,6
3.233.158.26,192.168.56.85,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
192.168.56.85,3.233.158.26,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
3.233.158.26,192.168.56.85,6
192.168.56.85,3.233.158.26,6
